2012-02-13T17:20:00.784+0000: 107755.837: [GC [PSYoungGen: 34120K->608K(34816K)] 67746K->34242K(75776K), 0.0054540 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T17:33:06.310+0000: 108541.363: [GC [PSYoungGen: 34400K->296K(34880K)] 68034K->34222K(75840K), 0.0043910 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T17:49:13.055+0000: 109508.108: [GC [PSYoungGen: 34152K->328K(34816K)] 68078K->34510K(75776K), 0.0042210 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T18:02:18.476+0000: 110293.530: [GC [PSYoungGen: 34184K->568K(34880K)] 68366K->34758K(75840K), 0.0043420 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T18:16:24.536+0000: 111139.590: [GC [PSYoungGen: 34488K->296K(34880K)] 68678K->34778K(75840K), 0.0041040 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T18:31:30.720+0000: 112045.773: [GC [PSYoungGen: 34216K->560K(34880K)] 68698K->35046K(75840K), 0.0040110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T18:48:37.741+0000: 113072.794: [GC [PSYoungGen: 34480K->336K(34880K)] 68966K->35074K(75840K), 0.0045070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T19:02:43.562+0000: 113918.616: [GC [PSYoungGen: 34256K->568K(34944K)] 68994K->35310K(75904K), 0.0043160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T19:17:49.996+0000: 114825.050: [GC [PSYoungGen: 34616K->296K(34944K)] 69358K->35334K(75904K), 0.0047480 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T19:32:56.596+0000: 115731.649: [GC [PSYoungGen: 34344K->576K(34944K)] 69382K->35618K(75904K), 0.0039700 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T19:50:04.144+0000: 116759.198: [GC [PSYoungGen: 34624K->368K(34944K)] 69666K->35662K(75904K), 0.0064750 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T19:59:08.264+0000: 117303.318: [GC [PSYoungGen: 34416K->609K(34944K)] 69710K->36187K(75904K), 0.0049720 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T20:14:14.903+0000: 118209.956: [GC [PSYoungGen: 34657K->560K(34944K)] 70235K->36265K(75904K), 0.0047080 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T20:30:01.576+0000: 119156.629: [GC [PSYoungGen: 34608K->752K(34816K)] 70313K->36745K(75776K), 0.0052520 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T20:39:25.521+0000: 119720.574: [GC [PSYoungGen: 34672K->72K(34880K)] 70665K->36597K(75840K), 0.0048010 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2012-02-13T20:53:22.608+0000: 120557.661: [GC [PSYoungGen: 33992K->560K(34880K)] 70517K->37101K(75840K), 0.0042600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T21:06:36.896+0000: 121351.950: [GC [PSYoungGen: 34480K->352K(34880K)] 71021K->37153K(75840K), 0.0058120 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T21:21:43.158+0000: 122258.212: [GC [PSYoungGen: 34272K->560K(34880K)] 71073K->37385K(75840K), 0.0040550 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T21:35:49.059+0000: 123104.112: [GC [PSYoungGen: 34480K->296K(34880K)] 71305K->37405K(75840K), 0.0043640 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2012-02-13T21:50:55.280+0000: 124010.333: [GC [PSYoungGen: 34216K->560K(34944K)] 71325K->37673K(75904K), 0.0040030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T22:08:02.484+0000: 125037.538: [GC [PSYoungGen: 34608K->320K(34944K)] 71721K->37685K(75904K), 0.0044340 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
